"Levensverwachting; geslacht, leeftijd (per jaar en periode van vijf jaren)"
""
"";""
"";"Geslacht";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen"
"";"Onderwerp";"Sterftekans";"Levenden (tafelbevolking) ";"Overledenen (tafelbevolking) ";"Levensverwachting"
"Leeftijd (op 31 december)";"Perioden";"kans";"aantal";"aantal";"jaar "
"0 jaar";"2021";"0,00307";"100000";"307";"81,35"
"1 jaar";"2021";"0,00037";"99693";"37";"81,10"
"2 jaar";"2021";"0,00018";"99656";"18";"80,13"
"3 jaar";"2021";"0,00008";"99638";"8";"79,14"
"4 jaar";"2021";"0,00003";"99630";"3";"78,15"
"5 jaar";"2021";"0,00011";"99627";"11";"77,15"
"6 jaar";"2021";"0,00005";"99616";"5";"76,16"
"7 jaar";"2021";"0,00005";"99611";"5";"75,16"
"8 jaar";"2021";"0,00006";"99606";"6";"74,17"
"9 jaar";"2021";"0,00007";"99600";"7";"73,17"
"10 jaar";"2021";"0,00006";"99593";"6";"72,18"
"11 jaar";"2021";"0,00006";"99587";"6";"71,18"
"12 jaar";"2021";"0,00006";"99581";"6";"70,19"
"13 jaar";"2021";"0,00009";"99575";"9";"69,19"
"14 jaar";"2021";"0,00014";"99566";"14";"68,20"
"15 jaar";"2021";"0,00016";"99552";"16";"67,21"
"16 jaar";"2021";"0,00014";"99536";"14";"66,22"
"17 jaar";"2021";"0,00013";"99522";"13";"65,23"
"18 jaar";"2021";"0,00016";"99509";"16";"64,23"
"19 jaar";"2021";"0,00022";"99493";"21";"63,24"
"20 jaar";"2021";"0,00032";"99472";"32";"62,26"
"21 jaar";"2021";"0,00030";"99440";"29";"61,28"
"22 jaar";"2021";"0,00028";"99411";"28";"60,29"
"23 jaar";"2021";"0,00033";"99383";"33";"59,31"
"24 jaar";"2021";"0,00031";"99350";"31";"58,33"
"25 jaar";"2021";"0,00029";"99319";"29";"57,35"
"26 jaar";"2021";"0,00031";"99290";"31";"56,37"
"27 jaar";"2021";"0,00034";"99259";"34";"55,38"
"28 jaar";"2021";"0,00035";"99225";"35";"54,40"
"29 jaar";"2021";"0,00041";"99190";"40";"53,42"
"30 jaar";"2021";"0,00044";"99150";"44";"52,44"
"31 jaar";"2021";"0,00043";"99106";"42";"51,47"
"32 jaar";"2021";"0,00044";"99064";"43";"50,49"
"33 jaar";"2021";"0,00047";"99021";"47";"49,51"
"34 jaar";"2021";"0,00049";"98974";"48";"48,53"
"35 jaar";"2021";"0,00053";"98926";"52";"47,56"
"36 jaar";"2021";"0,00059";"98874";"58";"46,58"
"37 jaar";"2021";"0,00061";"98816";"61";"45,61"
"38 jaar";"2021";"0,00074";"98755";"73";"44,64"
"39 jaar";"2021";"0,00064";"98682";"63";"43,67"
"40 jaar";"2021";"0,00080";"98619";"79";"42,70"
"41 jaar";"2021";"0,00087";"98540";"86";"41,73"
"42 jaar";"2021";"0,00089";"98454";"87";"40,77"
"43 jaar";"2021";"0,00105";"98367";"103";"39,80"
"44 jaar";"2021";"0,00108";"98264";"106";"38,84"
"45 jaar";"2021";"0,00129";"98158";"126";"37,88"
"46 jaar";"2021";"0,00141";"98032";"138";"36,93"
"47 jaar";"2021";"0,00160";"97894";"157";"35,98"
