"","diagnosed no complications","diagnosed osteoporosis","diagnosed NHL","diagnosed GIC","Undiagnosed no complications","Undiagnosed osteoporosis","Undiagnosed NHL","Undiagnosed GIC","Death"
"No screening",0.71922620083899,0.01953273870261,0.000709869364544768,0.00118170716022121,0.181709850252408,0.000921361240934946,5.16416150406629e-05,7.26867820064514e-05,0.0765939440432437
"0.648 0.496 POCT",0.744720023044038,0.019627152428886,0.000715780741008394,0.00118740091746684,0.156344963989305,0.000791451297958088,4.43936870335239e-05,6.2507720569022e-05,0.0765063261737345
"0.576 0.496 POCT",0.73829779714799,0.0196034469616646,0.000714294432839094,0.00118597040810116,0.162734738430095,0.000824083273041527,4.62170295684334e-05,6.50669177719917e-05,0.0765283853989282
"0.504 0.496 POCT",0.733497958743375,0.0195857061819611,0.000713182695691533,0.00118490008205252,0.167510311000106,0.00084850205652619,4.75806666191134e-05,6.69811261178047e-05,0.0765448774475512
"0.648 0.64 POCT",0.755773267812724,0.0196678378735698,0.000718333105003045,0.00118985744395715,0.14534756084293,0.000735451801927348,4.12580567670653e-05,5.81081582406963e-05,0.0764683249048818
"0.576 0.64 POCT",0.746901130270945,0.0196351580412973,0.000716283063230892,0.00118788466848455,0.154174891820998,0.000780432858855337,4.37747029641613e-05,6.1640202018823e-05,0.0764988043712062
"0.504 0.64 POCT",0.740074754129316,0.0196099809205673,0.000714704316890576,0.00118636509248151,0.160966772489633,0.000815088650969965,4.57124851936696e-05,6.4359696804855e-05,0.0765222622181432
"0.648 0.784 POCT",0.780339610306592,0.0197580686686549,0.000723994525139341,0.00119530703212646,0.120905219436887,0.000611331292218357,3.42975360156344e-05,4.83365284623235e-05,0.0763838346739043
"0.576 0.784 POCT",0.767100448076636,0.0197094306060002,0.000720942651643096,0.00119236990180066,0.134077597128327,0.000678231853218611,3.80471335487246e-05,5.36025372778484e-05,0.0764293301115483
"0.504 0.784 POCT",0.756125613545133,0.01966907031734,0.000718410523310218,0.00118993284968547,0.144997027213034,0.000733764351507102,4.11580284758377e-05,5.79695387423789e-05,0.0764670536327716
"0.9999 0 POCT",0.897274773664109,0.0201865004755572,0.000750872726483594,0.00122117913834687,0.00455785292009097,2.32357993579843e-05,1.29692353270808e-06,1.82853701505596e-06,0.0759824598155067
"0.882 0.417 POCT",0.786220704269234,0.0197798001995046,0.000725363120859839,0.00119661633755811,0.115053559696539,0.000581354077353285,3.26381208624331e-05,4.60032897667214e-05,0.0763639608883225
"0.807 0.61 POCT",0.783389296291757,0.0197693574951547,0.000724704977430281,0.00119598701700452,0.117870809803895,0.000595760403923279,3.3436195297025e-05,4.71252317260893e-05,0.076373522583813
"0.667 0.872 POCT",0.818249472886006,0.0198970692492681,0.000732714218366135,0.001203702706813,0.083186367555381,0.000420346701746972,2.35766953629374e-05,3.32598642330549e-05,0.0762534901228229
"0.533 0.952 POCT",0.851855340886104,0.0200201139982547,0.00074043170420937,0.00121113414531597,0.0497494081183534,0.000251513115456855,1.40953512493332e-05,1.9893873044554e-05,0.076138068808012
"0.331 0.987 POCT",0.875890224692888,0.0201081097441446,0.000745952784348,0.0012164467714148,0.025835049948365,0.00013083294030893,7.32633708513107e-06,1.03352570068661e-05,0.0760557215244384
