"","No screening","0.648 0.496 POCT","0.576 0.496 POCT","0.504 0.496 POCT","0.648 0.64 POCT","0.576 0.64 POCT","0.504 0.64 POCT","0.648 0.784 POCT","0.576 0.784 POCT","0.504 0.784 POCT","0.9999 0 POCT","0.882 0.417 POCT","0.807 0.61 POCT","0.667 0.872 POCT","0.533 0.952 POCT","0.331 0.987 POCT"
"1",28052.1638824881,30342.5162103859,29773.1756068007,29348.4674111602,31304.2514028447,30521.2757593591,29920.1149887022,33433.3500791686,32270.8722336839,31310.1402820273,43832.7555467179,34072.6975603885,33763.3701622317,36732.8113855009,39699.8752644128,41923.914268941
"2",33866.9781918222,36741.2528727753,36117.5776718825,35625.4644299213,37629.1185266853,36864.0768858716,36237.118730176,39293.8320352874,38350.435567821,37514.6352557464,45877.8167658866,40197.3489796002,39785.416995345,41471.6473867494,43147.9130812366,44517.4779226521
"3",34631.5595816078,35963.9622337754,35611.5406181849,35356.2122826046,36620.6800065561,36101.2280928157,35716.5145879232,38230.6519681903,37361.0099951334,36673.8826501232,47885.6215007604,38494.3382441477,38359.6454676454,41049.7281722223,43919.383538233,46120.1357962984
"4",32782.7378119146,33695.2066058862,33458.9647762253,33286.0338664912,34133.2259404466,33790.2745153953,33531.957703913,35165.1876058599,34619.7283553083,34174.9740715229,40143.728109338,35298.1915355438,35230.001770862,36815.3023006982,38305.796280208,39350.9010907345
"5",36252.7238866574,37098.4480740503,36865.9474536464,36700.1068315455,37567.0798472987,37207.6568147464,36945.7914658836,38779.447436442,38137.9787935067,37638.4139384619,46241.8684814889,38814.9600042556,38791.0502758028,40984.782202388,43273.7820538228,44964.975369436
"6",43105.1123547959,44476.3443506094,44147.2716677436,43898.4517741481,45019.3678324744,44577.1823553579,44231.3747985015,46174.2731407155,45550.3407959192,45020.6391286661,51068.5567692721,46517.6737406859,46352.5376034543,47846.725070049,49241.5878031664,50248.0848574905
"7",29417.7817619683,32137.3870609311,31448.5089979834,30939.0526638544,33322.3511213302,32359.3498508922,31628.5590010219,36021.1514731773,34540.8510451572,33338.1518367332,50506.0340324372,36808.9824746154,36424.911861721,40399.1263397994,44556.6863420434,47772.171099508
"8",39634.4965064834,41038.8287555478,40713.944641196,40464.4396363574,41553.4026093268,41130.0272220818,40792.6136626087,42599.5704553381,42032.9956046007,41541.1650682446,46678.11768793,42955.3568187887,42786.6894743876,44036.5087765469,45178.2553731722,46003.469499113
"9",36233.8537204353,37088.1708393882,36857.2201010885,36691.1942899327,37543.4198077735,37192.920183104,36934.8172046282,38685.9839991746,38083.6106872946,37606.7014112551,45031.8202124609,38745.0101618064,38710.6764943219,40666.0304550692,42606.5927875996,43994.9976788169
"10",37430.2379320848,39338.7164931578,38877.3655319525,38529.0374823005,40097.2069485798,39477.0890556277,38993.4326416063,41715.329568927,40835.2611099001,40092.2148080244,48833.9454630567,42229.0419636781,41982.7639270386,44090.8044765362,46106.3429181369,47581.4713302421
"11",34213.1325727134,35866.9908579248,35445.5339562442,35134.4080970544,36612.3122777987,36016.5452907883,35564.2694276788,38320.2609949314,37400.7352303226,36648.3579573803,46782.4312502338,38694.8266547201,38509.845223386,41033.41469843,43506.3528282143,45304.5774131459
"12",36321.5824096257,37452.6755093597,37145.6373204676,36924.9356083382,38054.8362619204,37589.841477258,37247.7365367619,39566.4342907164,38765.9768370414,38134.2128632466,48206.5875782682,39666.4370850645,39610.6155645905,42210.1203766249,44837.4752248906,46739.4948559552
